site,category,jurisdiction,method,contact,outcome,notes
IntelX,Breach & leak search,CZ / EU,Web form,intelx.io/abuse,Confirmed removed (follow-up filed),
DeHashed,Breach & leak search,US / intl,Web form,dehashed.com/support,Request sent — awaiting reply,
OSINT Industries,OSINT / email intelligence,UK,Web form,osint.industries/contact-us,No storage; suppression requested,
Epieos,OSINT / email intelligence,FR / EU,Email,contact@epieos.com,Request sent — awaiting reply,
EmailOSINT,OSINT / email intelligence,US / intl,N/A,(parked domain),Skipped — parked domain,
Snusbase,Breach & leak search,US / intl,Email,support@snusbase.com,Request sent — awaiting reply,
Leak-Lookup,Breach & leak search,US / intl,Email,(previous session),Request sent — awaiting reply,
LeakCheck,Breach & leak search,US / intl,Email,(previous session),Removal approved,
Hunter.io,B2B contact data & lead-gen,US / intl,Email,(previous session),Does not collect personal email,
Apollo.io,B2B contact data & lead-gen,US / intl,Email,(previous session),No data,
RocketReach,B2B contact data & lead-gen,US / intl,Email,(previous session),No profile found,
Snov.io,B2B contact data & lead-gen,US / intl,Email,snovio_dpo@snov.io,No data held,
Skymem,OSINT / email intelligence,US / intl,Email,info@skymem.com,No record,
OSINTLeak,Breach & leak search,US / intl,Self-service,osintleak.com,Submitted,
EmailRep.io,OSINT / email intelligence,US / intl,Email,privacy@sublimesecurity.com,No PII identified,
Osintly,OSINT / email intelligence,US / intl,N/A,(parked domain),Skipped — parked domain,
Spokeo,People search,US / intl,Email,privacy@spokeo.com,Request sent — awaiting reply,
BeenVerified,People search,US / intl,Email,privacy@beenverified.com,No record,
WhitePages,People search,US / intl,Email,privacy@whitepages.com,Request sent — awaiting reply,
Spytox,People search,US / intl,Email,hello@spytox.com,Site shut down,
Intelius,People search,US / intl,Email,privacy@intelius.com,Confirmed deleted,
TruePeopleSearch,People search,US / intl,Email,support@truepeoplesearch.com,Request sent — awaiting reply,
That'sThem,People search,US / intl,Email,optout@thatsthem.com,Request sent — awaiting reply,privacy@ bounced
Intelligence Security,OSINT / email intelligence,US / intl,N/A,intelligencesecurity.io,Skipped — site defunct,
Pipl,People search,US / intl,Web form,pipl.com/personal-information-removal-request,Submitted,
EmailSherlock,OSINT / email intelligence,US / intl,Web form,emailsherlock.com/optout,Submitted,
ZoomInfo,B2B contact data & lead-gen,US / intl,Email,privacy@zoominfo.com,Request sent — awaiting reply,
Lusha,B2B contact data & lead-gen,US / intl,Email,privacy@lusha.com,Request sent — awaiting reply,
FullContact,B2B contact data & lead-gen,US / intl,Email,privacy@fullcontact.com,Request sent — awaiting reply,
Radaris,People search,US / intl,Email,removal@radaris.com,Request sent — awaiting reply,
Nuwber,People search,US / intl,Email,privacy@nuwber.com,Request sent — awaiting reply,
FamilyTreeNow,People search,US / intl,Email,privacy@familytreenow.com,Request sent — awaiting reply,
PeopleFinders,People search,US / intl,Email,customercare@peoplefinders.com,Request sent — awaiting reply,
PeekYou,People search,US / intl,Email,info@peekyou.com,Request sent — awaiting reply,
Instant Checkmate,People search,US / intl,Email,privacy@instantcheckmate.com,Confirmed deleted,
Truthfinder,People search,US / intl,Email,privacy@truthfinder.com,Request sent — awaiting reply,
MyLife,People search,US / intl,Email,privacy@mylife.com,No record,
Clearbit,B2B contact data & lead-gen,US / intl,Email,privacy@clearbit.com,Request sent — awaiting reply,
InfoTracer,People search,US / intl,Email,privacy@infotracer.com,Confirmed removed,
Cognism,B2B contact data & lead-gen,UK,Email,privacy@cognism.com,Request sent — awaiting reply,
ClustrMaps,People search,US / intl,Email,support@clustrmaps.com,Request sent — awaiting reply,remove@ DNS failure
Seamless.ai,B2B contact data & lead-gen,US (EU rep: IT Governance),Email,eurep@itgovernance.eu,Processing,
Epsilon,Ad-tech & audience data,US / intl,Email,privacy@epsilon.com,Request sent — awaiting reply,
CoreLogic / Cotality,Major data broker,US / intl,Email,privacy@corelogic.com,Request sent — awaiting reply,
Acxiom,Major data broker,US / intl,OneTrust portal,privacyportal.onetrust.com,No PII held (EU portal),
LexisNexis,Major data broker,US / intl,Email,privacy.information.mgr@lexisnexis.com,Request sent — awaiting reply,
People Data Labs,B2B contact data & lead-gen,US / intl,Email,privacy@peopledatalabs.com,Request sent — awaiting reply,
SignalHire,B2B contact data & lead-gen,US / intl,Email,support@signalhire.com,Request sent — awaiting reply,
ContactOut,B2B contact data & lead-gen,US / intl,Email,support@contactout.com,Request sent — awaiting reply,
Tomba.io,B2B contact data & lead-gen,US / intl,Email,support@tomba.io,Request sent — awaiting reply,
Constella Intelligence,Threat intelligence,ES / EU,Email,privacy@constellaintelligence.com,Request sent — awaiting reply,
Skrapp.io,B2B contact data & lead-gen,US / intl,Email,support@skrapp.io,Request sent — awaiting reply,
Nymeria.io,B2B contact data & lead-gen,US / intl,Email,contact@nymeria.io,Request sent — awaiting reply,
Wiza,B2B contact data & lead-gen,US / intl,Email,optout@wiza.com,Request sent — awaiting reply,
SpyCloud,Threat intelligence,US / intl,Email,privacy@spycloud.com,Request sent — awaiting reply,
AeroLeads,B2B contact data & lead-gen,US / intl,Email,hello@aeroleads.com,Request sent — awaiting reply,
Swordfish.ai,B2B contact data & lead-gen,US / intl,Email,contact@swordfish.ai,Request sent — awaiting reply,
UpLead,B2B contact data & lead-gen,US / intl,Email,support@uplead.com,Request sent — awaiting reply,
GetProspect,B2B contact data & lead-gen,US / intl,Email,support@getprospect.com,Does not store personal Gmail,
FindThatLead,B2B contact data & lead-gen,US / intl,Email,dpo@findthatlead.com,Request sent — awaiting reply,
Adapt.io,B2B contact data & lead-gen,US / intl,Email,support@adapt.io,Request sent — awaiting reply,
ScatteredSecrets,Breach & leak search,US / intl,Email,legal@scatteredsecrets.com,Request sent — awaiting reply,
BreachDirectory,Breach & leak search,US / intl,Email,contact@breachdirectory.org,Request sent — awaiting reply,
LeakPeek,Breach & leak search,UK,Live chat,leakpeek.com/contact,Contacted via live chat,
GhostProject,Breach & leak search,FR / EU,Social media,ghostproject.fr,Contacted via social,
XposedOrNot,Breach & leak search,US / intl,Email,deva@xposedornot.com,Request sent — awaiting reply,
LeadIQ,B2B contact data & lead-gen,US / intl,Email,support@leadiq.com,Confirmed removed,
Kaspr,B2B contact data & lead-gen,FR / EU,Email,privacy@kaspr.io,Request sent — awaiting reply,
ZeroBounce,Email verification,US / intl,Email,support@zerobounce.net,Request sent — awaiting reply,
NeverBounce,Email verification,US / intl,Email,privacy@neverbounce.com,Request sent — awaiting reply,
Clay.com,B2B contact data & lead-gen,US / intl,Email,privacy@clay.com,Request sent — awaiting reply,
Kickbox,Email verification,US / intl,Email,help@kickbox.com,Actioned,
Dropcontact,Email verification,FR / EU,N/A,"(CNIL-audited, no personal DB)","Skipped — CNIL-audited, no personal DB",
Datagma,B2B contact data & lead-gen,FR / EU,Email,gdpr@datagma.com,Request sent — awaiting reply,
Findymail,B2B contact data & lead-gen,FR / EU,Email,privacy@findymail.com,Does not process personal Gmail,
FullEnrich,B2B contact data & lead-gen,FR / EU,Email,support@fullenrich.com,No data,
